,var1,var2,target,correlation_between_vars,pvalue_between_vars,correlation_var1_target,pvalue_var1_target,correlation_var2_target,pvalue_var2_target
351,reviews_per_month,availability_30,booked_up_target,0.5075552594931967,0.0,-0.2668351808338874,0.0,-0.42164402061973216,0.0
538,accommodates,bedrooms,booked_up_target,0.5005274239683625,0.0,-0.13816239372347494,0.0,-0.07061960733809783,1.6117754842671819e-173
878,target_num_of_day_in_period,num_of_booked_days_in_previous_period,booked_up_target,0.49205623124974124,0.0,0.09531868682969963,0.0,0.6210093570040095,0.0
649,weekly_price,cleaning_fee,booked_up_target,0.4899668802886581,0.0,-0.18314289538626416,3.6048812875063117e-193,-0.2349468508731146,0.0
828,review_scores_accuracy,review_scores_value,booked_up_target,0.48041570844910775,0.0,0.05483275856550795,3.9137567294075893e-85,0.1259661355614989,0.0
101,avg_dollar_price_in_previous_period,square_feet,booked_up_target,0.4724537004783614,9.46490983802611e-121,-0.12045325898102326,7.034347248564516e-251,0.03708732291931967,0.038253134916969994
335,reviews_per_month,availability_365,booked_up_target,0.4690682292793277,0.0,-0.2668351808338874,0.0,-0.7883671841456359,0.0
826,review_scores_accuracy,review_scores_communication,booked_up_target,0.4601749812963232,0.0,0.05483275856550795,3.9137567294075893e-85,0.051294711507698695,1.0441928544136766e-74
18,target_avg_dollar_price_in_period,square_feet,booked_up_target,0.45837911206538606,9.200292969451527e-91,,,0.03708732291931967,0.038253134916969994
879,target_num_of_booked_days,num_of_day_in_previous_period,booked_up_target,0.45519884016068335,0.0,0.8003208263860638,0.0,0.10664838956162437,0.0
23,target_avg_dollar_price_in_period,guests_included,booked_up_target,0.45382222851905574,0.0,,,-0.13652558379294602,0.0
824,review_scores_accuracy,review_scores_cleanliness,booked_up_target,0.44987037972126326,0.0,0.05483275856550795,3.9137567294075893e-85,-0.03818798720697684,3.342329599585784e-42
446,DaysPassed_host_since,DaysPassed_first_review,booked_up_target,0.4492528150922451,0.0,-0.07963508153886854,3.716141030266451e-220,-0.10428161991573853,0.0
545,accommodates,guests_included,booked_up_target,0.4472741991465996,0.0,-0.13816239372347494,0.0,-0.13652558379294602,0.0
684,security_deposit,cleaning_fee,booked_up_target,0.4397776297635302,0.0,-0.12932632736775485,0.0,-0.2349468508731146,0.0
817,review_scores_rating,review_scores_communication,booked_up_target,0.4386016054239262,0.0,0.10938167860611937,0.0,0.051294711507698695,1.0441928544136766e-74
825,review_scores_accuracy,review_scores_checkin,booked_up_target,0.43833857302640095,0.0,0.05483275856550795,3.9137567294075893e-85,0.01783128387574471,2.139428127363775e-10
717,guests_included,extra_people,booked_up_target,0.43827942506958734,0.0,-0.13652558379294602,0.0,-0.1755546907458696,0.0
17,target_avg_dollar_price_in_period,beds,booked_up_target,0.43693787039731175,0.0,,,-0.15576478758208406,0.0
106,avg_dollar_price_in_previous_period,guests_included,booked_up_target,0.4282424885937058,0.0,-0.12045325898102326,7.034347248564516e-251,-0.13652558379294602,0.0
836,review_scores_cleanliness,review_scores_value,booked_up_target,0.4249466635687304,0.0,-0.03818798720697684,3.342329599585784e-42,0.1259661355614989,0.0
100,avg_dollar_price_in_previous_period,beds,booked_up_target,0.42264350723996014,0.0,-0.12045325898102326,7.034347248564516e-251,-0.15576478758208406,0.0
650,weekly_price,guests_included,booked_up_target,0.42194172165183513,0.0,-0.18314289538626416,3.6048812875063117e-193,-0.13652558379294602,0.0
16,target_avg_dollar_price_in_period,bedrooms,booked_up_target,0.42101931588935565,0.0,,,-0.07061960733809783,1.6117754842671819e-173
632,square_feet,weekly_price,booked_up_target,0.4166579388636456,4.534067661908343e-86,0.03708732291931967,0.038253134916969994,-0.18314289538626416,3.6048812875063117e-193
212,price,square_feet,booked_up_target,0.4160943588724076,5.41204921466624e-131,-0.2053554322527973,0.0,0.03708732291931967,0.038253134916969994
609,beds,weekly_price,booked_up_target,0.41073435438260447,0.0,-0.15576478758208406,0.0,-0.18314289538626416,3.6048812875063117e-193
816,review_scores_rating,review_scores_checkin,booked_up_target,0.40677091117237163,0.0,0.10938167860611937,0.0,0.01783128387574471,2.139428127363775e-10
216,price,cleaning_fee,booked_up_target,0.4066660789264754,0.0,-0.2053554322527973,0.0,-0.2349468508731146,0.0
610,beds,monthly_price,booked_up_target,0.4055970176792947,0.0,-0.15576478758208406,0.0,-0.19150651222022122,3.0437457760240204e-153
211,price,beds,booked_up_target,0.4050573152906969,0.0,-0.2053554322527973,0.0,-0.15576478758208406,0.0
668,monthly_price,guests_included,booked_up_target,0.4041886447834421,0.0,-0.19150651222022122,3.0437457760240204e-153,-0.13652558379294602,0.0
99,avg_dollar_price_in_previous_period,bedrooms,booked_up_target,0.3927105262873199,0.0,-0.12045325898102326,7.034347248564516e-251,-0.07061960733809783,1.6117754842671819e-173
217,price,guests_included,booked_up_target,0.386571145918863,0.0,-0.2053554322527973,0.0,-0.13652558379294602,0.0
